"統一編號","商業名稱","商業地址","登記狀態"
"14630423","田尾大丹犬舍","彰化縣田尾鄉陸豐村民生路三段八二巷八號","核准設立"
"14641792","家有健狗專業寵物美容店","新北市板橋區互助街１０號１樓","歇業／撤銷"
"14651279","奧莉薇寵物店","新北市板橋區新生街6號1樓","核准設立"
"14652707","亞朵寵物工作室","新北市汐止區康寧街４０６號１樓","核准設立"
"14653311","亞旺寵物美容店","新北市蘆洲區民族路５２２號","核准設立"
"14656627","樂華寵物店","新北市永和區保平路１８巷８號１樓","歇業／撤銷"
"14673549","狗狗的家寵物店","桃園市楊梅區裕成里裕成路１６４巷３１號１樓","歇業／撤銷"
"14673554","奇玉寵物精品店","桃園市八德區大福里９鄰介壽路一段８４號１樓","歇業／撤銷"
"14673576","國鵬商行","桃園市楊梅區高榮里１８鄰高上路１段１１８號１樓","歇業／撤銷"
"14673581","薇美寵物精品店","桃園市中壢區幸福里福壽一街１１號１樓","核准設立"
"14673597","健狗家族專業寵物美容店","桃園市八德區大和里建國路１１４８號１樓","核准設立"
"14674049","德明犬舍行","桃園市中壢區仁愛里榮民南路２３１巷１弄２５號１樓","歇業／撤銷"
"14674076","犬家福寵物精品店","桃園市桃園區中成里永安路４０９號１樓","核准設立"
"14674097","先鋒商行","桃園市八德區霄裡里１９鄰新生路４５１號１樓","歇業／撤銷"
"14710925","波波寵物用品店","臺北市松山區饒河街82號1樓","核准設立"
"14715148","東尼寵物商行","臺北市中山區中山北路3段26號5樓之3","歇業／撤銷"
"14726285","名人鳥園","臺北市萬華區和平西路3段56號","停業"
"14771350","錢櫃愛犬美容屋","臺南市安平區怡平里華平路698號1樓","核准設立"
"14775784","鴻慶鳥園","臺南市安南區淵東里海佃路4段55巷160之1號1樓","核准設立"
"14778987","全省寵物店","臺南市南區日新里新興路507之4號1樓","核准設立"
"14799651","一心鳥店","臺中市東勢區東安里文化街１７２號","核准設立"
